iter	MultiClass
0	1.777733114
1	1.63819334
2	1.527556657
3	1.438479461
4	1.359640467
5	1.290664267
6	1.232752708
7	1.177984279
8	1.128980026
9	1.083455021
10	1.043895608
11	1.009313779
12	0.9767678877
13	0.9444578809
14	0.9160818993
15	0.8883530189
16	0.8634808351
17	0.8414166924
18	0.8189084737
19	0.7995662295
20	0.7807374519
21	0.7628185277
22	0.7462461262
23	0.7299377095
24	0.7145020299
25	0.7005351217
26	0.6870048651
27	0.674348162
28	0.66205591
29	0.6502440844
30	0.6387468648
31	0.6283726036
32	0.6183610581
33	0.6088202045
34	0.5995252936
35	0.5906176652
36	0.5821921054
37	0.574693879
38	0.5670286699
39	0.5590850756
40	0.5524736992
41	0.5453724205
42	0.5394699046
43	0.5329244597
44	0.5265923237
45	0.5205565939
46	0.5141890871
47	0.5090148371
48	0.5042326659
49	0.4987485607
50	0.4935725658
51	0.4889093334
52	0.4851828146
53	0.4819640506
54	0.4771911836
55	0.4740065435
56	0.4699878976
57	0.4649983199
58	0.4615858475
59	0.4588947643
60	0.4551063453
61	0.451735251
62	0.4486550243
63	0.4451282392
64	0.4418889932
65	0.4389673465
66	0.436190469
67	0.4331714148
68	0.429662844
69	0.4267880512
70	0.424028882
71	0.4212959217
72	0.4193315239
73	0.416803281
74	0.4146994523
75	0.4123254634
76	0.4106374772
77	0.4091387403
78	0.4070431892
79	0.4046201741
80	0.4029722075
81	0.4007160379
82	0.3985150282
83	0.396576995
84	0.3949457563
85	0.3927649087
86	0.3909688871
87	0.3893645226
88	0.3872814758
89	0.3853900042
90	0.3831928949
91	0.3824329564
92	0.3809698126
93	0.3785223461
94	0.376867292
95	0.3754165355
96	0.3743515678
97	0.3733080587
98	0.3723287442
99	0.3703915838
100	0.3687631414
101	0.3672202971
102	0.3647135444
103	0.363763317
104	0.3624715391
105	0.3613162823
106	0.3603740509
107	0.3584903454
108	0.3574990935
109	0.3566631191
110	0.3553938645
111	0.3546975363
112	0.3536732128
113	0.3527309264
114	0.3517129601
115	0.3504366286
116	0.3491969701
117	0.3478664917
118	0.3472385263
119	0.3466477276
120	0.3453540583
121	0.3445492017
122	0.3437894346
123	0.3429028696
124	0.3421472279
125	0.3411853201
126	0.3405168829
127	0.3397661256
128	0.3389121681
129	0.3376984529
130	0.3371743076
131	0.3363375482
132	0.3357436613
133	0.3342853389
134	0.3332466196
135	0.3321059307
136	0.3311190259
137	0.3302833705
138	0.3298396245
139	0.3288230482
140	0.3275300284
141	0.3262590645
142	0.3257628931
143	0.3251592258
144	0.3242450269
145	0.3234579359
146	0.322767724
147	0.3221571374
148	0.3212906205
149	0.320420976
150	0.3197661752
151	0.3192353381
152	0.3187724522
153	0.3180690429
154	0.3171945921
155	0.316432793
156	0.3157667108
157	0.3152850273
158	0.3148589788
159	0.3144197305
160	0.3135833106
161	0.3130582441
162	0.3123995438
163	0.3119051166
164	0.3114647024
165	0.310811163
166	0.3101687595
167	0.3094265487
168	0.3090229341
169	0.3084727124
170	0.308128523
171	0.3079256304
172	0.3074519174
173	0.3068862456
174	0.3062274119
175	0.3058077884
176	0.3055229625
