iter	MultiClass
177	0.3050946678
178	0.304519731
179	0.3040348642
180	0.3036054061
181	0.3032621307
182	0.3027707722
183	0.3020988906
184	0.3017543236
185	0.3015005785
186	0.3010417901
187	0.3008028269
188	0.3004405424
189	0.2996765377
190	0.2993746791
191	0.299137378
192	0.2987284607
193	0.2985320544
194	0.298232831
195	0.297805645
196	0.2975930079
197	0.2967899973
198	0.2961901654
199	0.2957983068
200	0.2953524897
201	0.2947569095
202	0.2945562953
203	0.2941038897
204	0.2935072784
205	0.2931060713
206	0.2927898485
207	0.2924768054
208	0.2920897001
209	0.2919380413
210	0.2916376594
211	0.2910080771
212	0.2905067094
213	0.2900628077
214	0.2896241359
215	0.2894762221
216	0.2891030713
217	0.2886771908
218	0.2882367404
219	0.2877402494
220	0.2872721245
221	0.2868218895
222	0.2865977197
223	0.286344463
224	0.2861525876
225	0.2859961341
226	0.2858087962
227	0.2856454751
228	0.2853710419
229	0.2850604116
230	0.2848382383
231	0.2845695845
232	0.28426852
233	0.2837712843
234	0.2833994458
235	0.2830706224
236	0.2827743589
237	0.2825678917
238	0.282249242
239	0.281994779
240	0.2816376843
241	0.2814953565
242	0.2811099143
243	0.280957207
244	0.2805449859
245	0.2802252299
246	0.2799047606
247	0.2794926373
248	0.2790001634
249	0.2785888661
250	0.2784551666
251	0.2781858151
252	0.2778931754
253	0.277889539
254	0.2777653762
255	0.2773610842
256	0.2772062538
257	0.2768015435
258	0.2766034209
259	0.2764597457
260	0.2763424459
261	0.2760699837
262	0.2760375463
263	0.2758665706
264	0.2756267583
265	0.27531648
266	0.2751459384
267	0.2749480068
268	0.2747097904
269	0.2743561122
270	0.2742309873
271	0.2739832342
272	0.273549093
273	0.2734512442
274	0.2732926577
275	0.2732912749
276	0.2730039823
277	0.2728562053
278	0.2726361515
279	0.2724147755
280	0.2723205082
281	0.2721281366
282	0.2718318166
283	0.2718181683
284	0.2716093652
285	0.2715756248
286	0.2713486836
287	0.2711565326
288	0.2710539911
289	0.2707369417
290	0.270592235
291	0.2704225523
292	0.2701153936
293	0.2699054093
294	0.2697164976
295	0.2693763399
296	0.2692776868
297	0.2690655802
298	0.2689039711
299	0.2686266852
300	0.2682386018
301	0.2679668898
302	0.2678399088
303	0.267589444
304	0.2673971892
305	0.267246148
306	0.2671391744
307	0.2669118123
308	0.266751868
309	0.2666493693
310	0.2663146705
311	0.2660902508
312	0.2659383672
313	0.265807919
314	0.2657182188
315	0.2656308185
316	0.265319322
317	0.2650950806
318	0.2648491528
319	0.2645577362
320	0.2645129805
321	0.2642733472
322	0.2640482948
323	0.2639243042
324	0.2637727321
325	0.2634480714
326	0.2632819312
327	0.2630610465
328	0.2630403153
329	0.2627692439
330	0.2625919117
331	0.2625437607
332	0.2624032429
333	0.2621893672
334	0.2618951472
335	0.2616879229
336	0.261374176
337	0.2613322736
338	0.2612655948
339	0.2611450298
340	0.2609924736
341	0.2608451219
342	0.2607860294
343	0.2606630436
344	0.2604213562
345	0.2602736501
346	0.2602230948
347	0.2600053105
348	0.2600004097
349	0.2598420879
350	0.2597424429
351	0.2597401871
352	0.2596382687
353	0.2594723656
354	0.2592486319
355	0.2590055609
356	0.2588815239
357	0.2587448765
358	0.2586430831
359	0.2585374693
360	0.2584876914
361	0.2583477396
362	0.2580958303
363	0.2580054089
364	0.2578352629
365	0.2576073888
366	0.2575242839
367	0.2574014327
368	0.2571943249
369	0.2570241112
370	0.2567795172
371	0.2565837574
372	0.2564442733
373	0.2563531863
374	0.2562584564
375	0.2560927143
376	0.255852579
377	0.2557508804
378	0.2557047432
379	0.255595305
380	0.2554582095
381	0.2553517007
382	0.2551662885
383	0.2548743804
384	0.2546581338
385	0.2545196686
386	0.2544009114
387	0.2542376747
388	0.2541670204
389	0.2539109329
390	0.25362446
391	0.2533403832
392	0.2531908639
393	0.2529159952
394	0.2527485529
395	0.2526939649
396	0.2524885349
397	0.2523883481
398	0.2523076488
399	0.2520603225
400	0.2518789884
401	0.2517617517
402	0.2516603263
403	0.2515226095
404	0.2514064692
405	0.2513934075
406	0.2512307151
407	0.2510633565
408	0.2509164161
409	0.2506851255
410	0.250591055
411	0.2505017239
412	0.2503648065
413	0.25023392
414	0.2499998963
415	0.2497200791
416	0.2496307544
417	0.2495210919
418	0.2494367297
419	0.2492980571
420	0.2491020645
421	0.2489992318
422	0.2487968138
423	0.2485696304
424	0.2483689951
425	0.2481132398
426	0.2480033691
427	0.2478683971
428	0.2476926324
429	0.247424193
430	0.2473900267
431	0.2472246676
432	0.2472025204
433	0.2470943958
434	0.2470132217
435	0.2468969495
436	0.2467599466
437	0.2466538211
438	0.2465208048
439	0.2465075698
440	0.2463897891
441	0.2463525055
442	0.2461748963
443	0.2459996769
444	0.2458648472
445	0.2457032118
446	0.2455724902
447	0.2454462397
448	0.2453680923
449	0.2451982331
450	0.2451799955
451	0.2451548223
452	0.2450312458
453	0.2449140104
454	0.2447855362
455	0.2446762295
456	0.2445705271
457	0.244434018
458	0.2442972374
459	0.2442037415
460	0.2439775065
461	0.2439573802
462	0.2438270037
463	0.2437486537
464	0.2436729776
465	0.2434871927
466	0.2433912131
467	0.2433896708
468	0.2432587573
469	0.2431080763
470	0.2429896066
471	0.2428229729
472	0.2427074959
473	0.242512793
474	0.2424250072
475	0.2422465825
476	0.2421128911
477	0.2420338367
478	0.2418981216
479	0.24177262
480	0.2416485666
481	0.2415120486
482	0.2413977605
483	0.241268529
484	0.2411858456
485	0.2409674298
486	0.2408190363
487	0.240711405
488	0.2405932134
489	0.2405420156
490	0.2403256139
491	0.2402244731
492	0.2400354804
493	0.2399107876
494	0.2397267829
495	0.2396044993
496	0.2394703993
497	0.2393739859
498	0.2392279578
499	0.2390296658
